distance,lat,lon,alt,speed,acc,dir,rsrp,rsrq,sinr,cqi,ta,ci,payload,throughput,rtt,region,hour,weekday
397.62,51.49058787,7.41688524,153.49,0.0,0.0,103.12,-80,-7,34,13,5,29391105,5.0,17.9856,71,campus,9,Tuesday
397.62,51.49055603,7.41705332,152.39,5.43,0.0,95.11,-80,-9,36,13,5,29391105,9.0,26.4317,48,campus,9,Tuesday
469.01,51.49119655,7.41706395,152.64,9.0,-0.57,348.93,-92,-6,20,15,5,29391105,4.0,14.7126,82,campus,9,Tuesday
558.5,51.49194897,7.41669336,151.38,8.77,-0.29,336.87,-96,-7,12,10,5,29391105,6.0,20.3562,71,campus,9,Tuesday
638.39,51.49261112,7.41614829,158.74,8.79,-0.5,342.23,-91,-6,28,15,5,29391105,2.0,11.5523,39,campus,9,Tuesday
726.69,51.49339372,7.41590443,158.77,8.57,-0.78,348.24,-94,-8,17,13,5,29391105,0.5,3.15956,81,campus,9,Tuesday
862.47,51.49452575,7.41530519,157.95,7.46,2.78,275.23,-90,-7,30,11,5,29391105,9.0,11.3457,63,campus,9,Tuesday
894.66,51.49449335,7.414764,159.0,11.49,2.16,262.95,-93,-12,13,14,5,29391105,0.1,2.8881,83,campus,9,Tuesday
1050.78,51.49417726,7.41252433,161.86,13.67,0.45,257.73,-85,-6,10,12,4,29391104,10.0,31.9234,38,campus,9,Tuesday
1152.03,51.49399874,7.411189,165.15,13.49,0.0,258.2,-74,-5,27,15,4,29391104,0.1,5.79712,59,campus,9,Tuesday
1345.88,51.49362917,7.40847012,168.75,14.94,0.0,258.17,-81,-7,4,11,4,29391104,8.0,15.3625,38,campus,9,Tuesday
1582.08,51.49316532,7.40501033,171.62,14.85,0.48,257.97,-89,-7,13,10,3,29391106,0.5,9.36768,67,campus,9,Tuesday
1824.12,51.49290518,7.40179658,163.19,6.96,0.0,206.52,-91,-8,4,12,7,26385410,7.0,19.7392,79,campus,9,Tuesday
1930.91,51.49188878,7.40176519,169.9,13.27,-0.36,178.6,-87,-6,22,11,7,26385410,4.0,13.4737,73,campus,9,Tuesday
2176.79,51.489726399999995,7.40171514,180.33,6.0,0.0,180.91,-81,-7,22,13,7,26385410,3.0,11.845999999999998,70,campus,9,Tuesday
